date,Maina,ibov,CDI,usd
2023-05-25,12914.10,1060.05,2300.75,448.01
2023-05-24,12778.62,1047.96,2299.58,443.38
2023-05-23,12920.00,1058.84,2298.41,445.17
2023-05-22,12966.87,1061.58,2297.25,445.23
2023-05-19,12983.03,1066.70,2296.08,446.82
2023-05-18,12798.21,1060.57,2294.92,444.93
2023-05-17,12657.83,1054.32,2293.75,443.73
2023-05-16,12515.37,1042.13,2292.59,440.23
2023-05-15,12657.85,1050.17,2291.42,440.06
2023-05-12,12581.20,1044.73,2290.26,441.23
2023-05-11,12608.82,1042.73,2289.10,445.37
2023-05-10,12556.56,1034.95,2287.94,444.04
2023-05-09,12521.24,1031.72,2286.77,448.16
2023-05-08,12469.43,1021.40,2285.61,445.37
2023-05-05,12353.76,1012.80,2284.45,445.37
2023-05-04,12122.48,984.15,2283.29,449.05
2023-05-03,12107.76,980.52,2282.13,450.13
2023-05-02,12092.96,981.77,2280.98,451.10
2023-04-28,12232.74,1005.89,2279.82,448.16
2023-04-27,12047.11,991.36,2278.66,449.44
2023-04-26,12030.55,985.48,2277.50,453.34
2023-04-25,12102.11,994.22,2276.35,453.59
2023-04-24,12212.41,1001.22,2275.19,453.43
2023-04-20,12232.36,1005.27,2274.04,452.55
2023-04-19,12096.15,1000.90,2272.88,452.28
2023-04-18,12299.28,1022.57,2271.73,445.21
2023-04-17,12368.94,1021.15,2270.58,442.91
2023-04-14,12398.37,1023.69,2269.42,443.21
2023-04-13,12388.03,1025.41,2268.27,440.00
2023-04-12,12405.66,1029.57,2267.12,443.58
2023-04-11,12307.13,1023.06,2265.97,449.24
2023-04-10,11983.08,980.99,2264.82,455.57
2023-04-06,11975.98,971.12,2263.67,454.22
2023-04-05,11999.47,972.62,2262.52,452.10
2023-04-04,12085.49,981.21,2261.37,454.93
2023-04-03,11948.57,977.71,2260.22,453.80
2023-03-31,11985.51,981.34,2259.08,455.30
2023-03-30,12193.51,998.97,2257.93,459.33
2023-03-29,12077.79,980.47,2256.78,461.48
2023-03-28,12020.18,974.62,2255.64,463.63
2023-03-27,11888.92,960.03,2254.49,468.76
2023-03-24,11814.28,951.93,2253.35,474.28
2023-03-23,11649.54,943.23,2252.20,471.69
2023-03-22,11788.64,965.33,2251.06,471.83
2023-03-21,11800.14,972.82,2249.92,470.00
2023-03-20,11860.28,972.09,2248.78,470.21
2023-03-17,12012.11,982.29,2247.63,472.11
2023-03-16,12158.39,996.29,2246.49,474.02
2023-03-15,12062.19,988.98,2245.35,474.81
2023-03-14,12094.38,991.45,2244.21,469.27
2023-03-13,12129.59,993.27,2243.07,469.61
2023-03-10,12261.11,998.06,2241.94,464.43
2023-03-09,12438.66,1012.05,2240.80,460.22
2023-03-08,12506.22,1026.20,2239.66,460.53
2023-03-07,12278.55,1003.93,2238.52,465.13
2023-03-06,12325.56,1008.48,2237.39,465.75
2023-03-03,12218.72,1000.44,2236.25,466.35
2023-03-02,12222.97,995.24,2235.12,466.74
2023-03-01,12223.48,1005.44,2233.98,466.65
2023-02-28,12376.35,1010.71,2232.85,466.72
2023-02-27,12279.99,1018.21,2231.71,465.66
2023-02-24,12316.59,1019.06,2230.58,464.15
2023-02-23,12375.38,1036.34,2229.45,460.02
2023-02-22,12421.81,1032.09,2228.32,463.60
2023-02-17,12584.35,1051.60,2227.19,466.13
2023-02-16,12770.23,1058.96,2226.06,469.89
2023-02-15,12721.58,1047.02,2224.93,461.60
2023-02-14,12518.06,1039.75,2223.80,461.60
2023-02-13,12622.46,1048.32,2222.67,464.53
2023-02-10,12559.67,1041.02,2221.54,470.74
2023-02-09,12277.00,1040.34,2220.41,468.84
2023-02-08,12488.86,1059.06,2219.28,466.34
2023-02-07,12376.46,1038.62,2218.16,463.29
2023-02-06,12429.75,1047.21,2217.03,463.90
2023-02-03,12480.70,1045.30,2215.91,457.33
2023-02-02,12618.64,1060.88,2214.78,447.21
2023-02-01,12786.65,1079.50,2213.66,454.56
2023-01-31,12821.83,1092.57,2212.53,457.00
2023-01-30,12710.66,1081.42,2211.41,456.69
2023-01-27,12797.22,1081.84,2210.29,454.97
2023-01-26,12859.31,1099.76,2209.17,456.62
2023-01-25,12819.57,1100.66,2208.04,457.43
2023-01-24,12769.75,1088.69,2206.92,463.30
2023-01-23,12612.61,1076.26,2205.80,465.32
2023-01-20,12747.90,1079.18,2204.68,465.90
2023-01-19,12905.19,1087.67,2203.56,467.31
2023-01-18,12879.42,1080.99,2202.45,456.24
2023-01-17,12682.87,1073.39,2201.33,458.88
2023-01-16,12570.40,1051.94,2200.21,458.09
2023-01-13,12673.16,1068.35,2199.09,458.37
2023-01-12,12820.62,1077.35,2197.98,460.64
2023-01-11,12896.81,1083.77,2196.86,466.20
2023-01-10,12789.19,1067.39,2195.75,469.56
2023-01-09,12559.23,1051.14,2194.63,474.69
2023-01-06,12484.22,1049.54,2193.52,473.68
